model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7pqy_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	0.428	0.448	0.787	0.511	3.513	0.345	0.338	0.65	7pqy
7pqy_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_000	0.428	0.491	0.52	0.433	1.714	0.419	0.367	0.596	7pqy
7pqy_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.434	0.455	0.889	0.485	3.487	0.378	0.321	0.707	7pqy
7pqy_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_000	0.415	0.44	0.651	0.406	1.375	0.318	0.359	0.58	7pqy
7pqy_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.426	0.626	0.673	0.36	3.676	0.333	0.333	0.589	7pqy
7pqy_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_003	0.427	0.457	0.707	0.417	3.477	0.342	0.336	0.619	7pqy
7pqy_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	0.419	0.441	0.746	0.456	3.261	0.341	0.313	0.659	7pqy
7pqy_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_004	0.429	0.458	0.728	0.44	3.49	0.35	0.324	0.631	7pqy
7pqy_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	0.433	0.608	0.742	0.358	3.546	0.342	0.357	0.642	7pqy
7pqy_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.434	0.453	0.877	0.531	3.506	0.374	0.35	0.695	7pqy
7pqy_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.422	0.561	0.715	0.324	3.713	0.317	0.357	0.554	7pqy
7pqy_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_001	0.439	0.452	0.771	0.495	3.466	0.342	0.373	0.65	7pqy
7pqy_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_002	0.437	0.463	0.773	0.406	3.504	0.36	0.361	0.645	7pqy
7pqy_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_001	0.42	0.556	0.589	0.307	1.158	0.403	0.353	0.578	7pqy
7pqy_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_003	0.424	0.422	0.777	0.403	3.322	0.346	0.356	0.706	7pqy
7pr0_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_000	1.003	0.645	0.548	0.738	9.657	1.091	0.534	2.876	7pr0
7pr0_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_003	0.972	0.759	0.506	0.665	9.411	1.086	0.525	2.829	7pr0
7pr0_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	0.915	0.601	0.611	0.616	9.877	0.716	0.472	2.581	7pr0
7pr0_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	0.898	0.754	0.606	0.624	8.924	0.954	0.524	2.608	7pr0
7pr0_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001	0.916	0.605	0.576	0.633	10.536	0.832	0.507	2.579	7pr0
7pr0_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	0.952	0.653	0.722	0.785	11.345	0.837	0.503	2.527	7pr0
7pr0_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_000	0.898	0.614	0.625	0.599	10.129	0.781	0.501	2.558	7pr0
7pr0_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_002	1.071	0.696	0.565	0.735	9.588	1.098	0.51	3.052	7pr0
7pr0_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_002	0.935	0.669	0.43	0.635	3.757	0.875	0.411	2.579	7pr0
7pr0_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_002	0.912	0.617	0.514	0.612	9.562	0.875	0.512	2.641	7pr0
7pr0_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	0.935	0.623	0.545	0.625	10.314	0.827	0.505	2.629	7pr0
7pr0_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.905	0.617	0.521	0.619	9.567	0.9	0.531	2.585	7pr0
7pr0_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_002	0.918	0.607	0.628	0.607	9.995	0.75	0.481	2.605	7pr0
7pr0_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_004	0.95	0.664	0.604	0.712	4.757	0.759	0.517	2.537	7pr0
7pr0_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_001	0.926	0.606	0.566	0.646	9.794	0.783	0.5	2.611	7pr0
7pr0_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_001	1.071	0.771	0.375	0.693	3.899	1.006	0.454	3.185	7pr0
7pr0_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003	0.92	0.616	0.531	0.61	9.596	0.862	0.562	2.632	7pr0
7pr0_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	0.92	0.657	0.502	0.622	9.533	0.978	0.483	2.583	7pr0
7pr0_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_004	0.927	0.616	0.607	0.613	9.579	0.778	0.5	2.661	7pr0
7pr0_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	0.883	0.766	0.473	0.613	6.119	0.959	0.468	2.489	7pr0
7pr0_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_001	1.066	0.647	0.565	0.74	9.766	1.04	0.511	3.041	7pr0
7pr0_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	0.917	0.609	0.589	0.593	10.333	0.775	0.504	2.625	7pr0
7pr0_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	0.876	0.779	0.403	0.579	3.857	0.904	0.46	2.456	7pr0
7pr0_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.93	0.647	0.51	0.617	4.845	0.767	0.452	2.562	7pr0
7pr0_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_004	0.92	0.62	0.49	0.601	10.715	0.867	0.484	2.585	7pr0
7ps0_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_004	1.576	0.531	0.545	0.591	1.241	5.246	0.302	2.022	7ps0
7ps0_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_000	1.709	0.583	0.761	0.856	1.465	5.781	0.334	2.058	7ps0
7ps0_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_000	1.398	0.582	0.755	0.954	0.844	4.541	0.335	2.0	7ps0
7ps0_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_000	1.559	0.553	0.765	0.851	0.859	5.132	0.515	2.093	7ps0
7ps0_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_003	1.496	0.614	0.528	0.62	1.109	4.831	0.318	2.031	7ps0
7ps0_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002	1.325	0.578	0.537	0.594	0.832	4.135	0.393	2.07	7ps0
7ps0_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_003	1.563	0.616	0.652	0.703	0.81	5.087	0.442	2.021	7ps0
7ps0_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	1.558	0.562	0.729	1.048	0.85	5.142	0.286	2.041	7ps0
7ps0_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	1.581	0.544	0.655	0.67	0.84	5.219	0.413	2.048	7ps0
7ps0_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	1.649	0.545	0.678	0.653	1.051	5.504	0.36	2.012	7ps0
7ps0_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_003	1.441	0.578	0.556	0.539	0.985	4.499	0.633	2.113	7ps0
7ps0_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_001	1.577	0.565	0.808	0.98	1.095	5.188	0.341	1.938	7ps0
7ps0_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_004	1.659	0.532	0.549	0.643	0.674	5.502	0.228	2.0	7ps0
7ps0_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_004	1.559	0.584	0.655	0.714	0.956	5.192	0.374	2.016	7ps0
7ps0_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	1.513	0.552	0.8	1.094	0.851	4.962	0.3	2.007	7ps0
7ps0_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_002	1.353	0.563	0.518	0.565	0.97	4.284	0.456	2.136	7ps0
7ps0_unrelaxed_rank_012_alphafold2_multimer_v3_model_3_seed_001	1.491	0.537	0.572	0.597	0.69	4.837	0.233	1.897	7ps0
7ps0_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_003	1.387	0.56	0.567	0.551	0.808	4.409	0.313	1.982	7ps0
7ps0_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	1.271	0.586	0.629	0.823	0.885	4.055	0.334	2.013	7ps0
7ps0_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_001	1.61	0.54	0.598	0.652	0.843	5.291	0.213	1.959	7ps0
7ps0_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_001	1.551	0.53	0.722	0.807	0.718	5.161	0.336	1.974	7ps0
7ps0_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_002	1.414	0.557	0.602	0.639	0.972	4.562	0.349	2.054	7ps0
7ps0_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_000	1.586	0.55	0.658	0.754	0.974	5.293	0.273	2.047	7ps0
7ps0_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	1.44	0.562	0.794	1.139	0.729	4.653	0.249	1.999	7ps0
7ps0_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	1.4	0.574	0.594	0.718	0.773	4.559	0.313	2.013	7ps0
7ps1_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.646	0.557	0.971	1.028	1.569	1.593	0.613	1.676	7ps1
7ps1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.666	0.582	1.076	1.107	1.631	1.671	0.663	1.6	7ps1
7ps1_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_002	0.7	0.595	1.138	1.122	2.214	1.87	0.791	1.513	7ps1
7ps1_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_000	0.692	0.594	1.191	1.163	1.968	1.841	0.752	1.556	7ps1
7ps1_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_003	0.687	0.563	1.09	1.001	1.82	1.692	0.699	1.682	7ps1
7ps1_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_001	0.878	0.578	0.877	0.913	1.273	2.703	0.639	1.74	7ps1
7ps1_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	0.703	0.579	1.06	1.119	2.076	1.83	0.705	1.623	7ps1
7ps1_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_003	0.63	0.668	1.26	1.328	2.595	1.604	0.718	1.562	7ps1
7ps1_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_004	0.667	0.508	0.87	0.891	1.596	1.703	0.658	1.601	7ps1
7ps1_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_001	0.626	0.678	1.088	1.208	2.02	1.574	0.642	1.582	7ps1
7ps1_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_001	0.649	0.583	1.185	1.093	2.36	1.832	0.781	1.556	7ps1
7ps1_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	1.015	0.546	0.962	0.987	1.483	3.432	0.66	1.712	7ps1
7ps1_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_002	0.664	0.632	0.878	0.917	1.427	1.639	0.578	1.719	7ps1
7ps1_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_002	0.694	0.581	1.054	1.094	1.642	1.718	0.676	1.573	7ps1
7ps1_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	0.709	0.549	0.882	0.832	1.342	1.749	0.593	1.609	7ps1
7ps1_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_003	0.691	0.569	1.066	1.073	1.712	1.522	0.603	1.803	7ps1
7ps1_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.662	0.618	0.923	0.989	1.476	1.648	0.643	1.827	7ps1
7ps1_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_004	0.717	0.535	0.839	0.85	1.321	1.764	0.596	1.59	7ps1
7ps1_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_000	0.674	0.564	1.018	1.024	1.598	1.515	0.615	1.67	7ps1
7ps1_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_004	0.652	0.54	0.893	1.059	1.296	1.566	0.627	1.794	7ps1
7ps1_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	0.655	0.598	0.972	1.003	1.466	1.658	0.645	1.734	7ps1
7ps1_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	0.697	0.64	1.197	1.305	1.949	1.703	0.844	1.589	7ps1
7ps1_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	0.64	0.657	0.94	1.038	1.544	1.441	0.553	1.562	7ps1
7ps1_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_000	0.694	0.544	0.87	0.82	1.425	1.657	0.622	1.536	7ps1
7ps1_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	0.706	0.565	0.943	0.912	1.366	1.584	0.581	1.501	7ps1
7ps2_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_002	0.629	0.507	0.731	0.618	4.929	1.121	0.412	1.689	7ps2
7ps2_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	0.616	0.51	0.701	0.728	4.489	1.164	0.471	1.626	7ps2
7ps2_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_000	0.612	0.496	0.69	0.695	5.163	1.091	0.45	1.641	7ps2
7ps2_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_002	0.605	0.5	0.689	0.677	4.487	1.177	0.427	1.614	7ps2
7ps2_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.604	0.543	0.777	0.667	5.356	1.392	0.624	1.581	7ps2
7ps2_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.625	0.537	0.766	0.63	5.692	1.394	0.601	1.591	7ps2
7ps2_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_004	0.62	0.507	0.64	0.599	5.151	1.278	0.499	1.628	7ps2
7ps2_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.608	0.506	0.726	0.67	5.226	1.082	0.459	1.65	7ps2
7ps2_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	0.593	0.509	0.647	0.696	4.176	1.172	0.477	1.515	7ps2
7ps2_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_001	0.592	0.511	0.71	0.722	4.319	1.144	0.483	1.533	7ps2
7ps2_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_002	0.605	0.527	0.69	0.622	4.949	1.29	0.524	1.583	7ps2
7ps2_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.687	0.499	0.716	0.685	5.416	1.167	0.425	1.882	7ps2
7ps2_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.624	0.508	0.749	0.674	5.664	1.12	0.491	1.684	7ps2
7ps2_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	0.614	0.511	0.662	0.745	4.727	1.09	0.459	1.643	7ps2
7ps2_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_001	0.613	0.494	0.737	0.618	5.076	1.046	0.428	1.643	7ps2
7ps2_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.645	0.559	0.83	0.699	5.629	1.473	0.642	1.642	7ps2
7ps2_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_004	0.661	0.501	0.734	0.635	5.129	1.107	0.409	1.788	7ps2
7ps2_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_004	0.606	0.509	0.749	0.741	5.323	1.2	0.479	1.621	7ps2
7ps2_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	0.623	0.483	0.626	0.69	4.752	1.077	0.468	1.671	7ps2
7ps2_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	0.618	0.517	0.617	0.673	4.921	1.246	0.473	1.642	7ps2
7ps2_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_003	0.614	0.505	0.643	0.685	5.046	1.261	0.518	1.633	7ps2
7ps2_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.612	0.538	0.727	0.63	5.356	1.393	0.578	1.6	7ps2
7ps2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	0.611	0.532	0.758	0.65	5.717	1.321	0.581	1.629	7ps2
7ps2_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_003	0.614	0.472	0.678	0.615	5.032	1.049	0.405	1.617	7ps2
7ps2_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_001	0.628	0.529	0.692	0.612	5.234	1.249	0.518	1.713	7ps2
7ps4_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	0.733	0.657	0.55	0.887	3.142	0.612	0.459	0.861	7ps4
7ps4_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_003	0.783	0.7	0.526	0.819	3.146	0.639	0.45	0.883	7ps4
7ps4_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_002	0.738	0.668	0.598	0.947	3.031	0.939	0.531	0.878	7ps4
7ps4_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000	0.665	0.598	0.57	0.883	2.994	0.87	0.48	0.799	7ps4
7ps4_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	0.84	0.731	0.534	0.808	2.658	0.839	0.455	0.856	7ps4
7ps4_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	0.81	0.702	0.512	0.796	1.916	0.615	0.436	0.883	7ps4
7ps4_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_002	0.815	0.72	0.568	0.94	2.992	0.737	0.481	0.891	7ps4
7ps4_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	0.889	0.781	0.487	0.771	1.827	0.7	0.434	0.705	7ps4
7ps4_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.61	0.546	0.52	0.775	1.044	0.592	0.405	0.862	7ps4
7ps4_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_000	0.892	0.755	0.577	0.832	2.607	0.847	0.503	0.858	7ps4
7ps4_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_004	0.764	0.686	0.558	0.896	3.035	0.662	0.447	0.899	7ps4
7ps4_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.624	0.587	0.587	0.932	3.383	0.929	0.5	0.812	7ps4
7ps4_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_003	0.993	0.838	0.562	0.769	2.644	0.839	0.51	0.837	7ps4
7ps4_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_001	1.002	0.842	0.593	0.816	2.849	0.892	0.533	0.74	7ps4
7ps4_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_002	0.672	0.601	0.563	0.879	2.47	0.918	0.436	0.807	7ps4
7ps4_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_000	1.0	0.842	0.448	0.793	1.165	0.627	0.459	0.876	7ps4
7ps4_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_004	0.993	0.837	0.45	0.671	1.226	0.647	0.416	0.752	7ps4
7ps4_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	0.678	0.603	0.587	0.819	3.091	0.856	0.448	0.744	7ps4
7ps4_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	0.757	0.672	0.552	0.882	3.115	0.618	0.447	0.841	7ps4
7ps4_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_002	0.822	0.711	0.518	0.78	2.402	0.841	0.457	0.837	7ps4
7ps4_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_000	0.869	0.761	0.533	0.843	2.38	0.653	0.45	0.916	7ps4
7ps4_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_004	0.684	0.605	0.591	0.85	2.997	0.906	0.452	0.761	7ps4
7ps4_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	0.885	0.772	0.529	0.818	2.387	0.648	0.435	0.874	7ps4
7ps4_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	0.997	0.844	0.463	0.729	1.137	0.599	0.439	0.781	7ps4
7ps4_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	0.717	0.642	0.619	0.911	3.279	0.93	0.489	0.795	7ps4
7ps6_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_002	0.513	0.568	0.563	0.949	2.619	1.255	0.427	0.517	7ps6
7ps6_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_004	0.506	0.565	0.563	0.957	2.402	1.232	0.423	0.517	7ps6
7ps6_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_004	0.496	0.579	0.616	0.841	2.538	1.184	0.442	0.545	7ps6
7ps6_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_001	0.49	0.55	0.629	0.882	1.602	1.18	0.485	0.575	7ps6
7ps6_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_004	0.508	0.603	1.698	0.916	2.966	1.279	0.522	0.572	7ps6
7ps6_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_001	0.492	0.567	1.755	0.832	2.526	1.092	0.351	0.515	7ps6
7ps6_unrelaxed_rank_019_alphafold2_multimer_v3_model_1_seed_002	0.481	0.56	0.649	0.9	3.062	1.11	0.42	0.611	7ps6
7ps6_unrelaxed_rank_014_alphafold2_multimer_v3_model_3_seed_003	0.51	0.579	0.595	0.868	2.513	1.313	0.485	0.535	7ps6
7ps6_unrelaxed_rank_022_alphafold2_multimer_v3_model_1_seed_001	0.5	0.585	0.629	0.901	2.758	1.159	0.39	0.568	7ps6
7ps6_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_000	0.487	0.575	0.607	0.891	2.544	1.325	0.471	0.584	7ps6
7ps6_unrelaxed_rank_024_alphafold2_multimer_v3_model_1_seed_000	0.491	0.585	0.643	0.982	3.226	1.171	0.449	0.592	7ps6
7ps6_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_000	0.502	0.623	1.703	0.892	1.807	1.234	0.48	0.566	7ps6
7ps6_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	0.507	0.589	0.635	0.781	2.06	1.263	0.465	0.538	7ps6
7ps6_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_002	0.502	0.685	1.602	0.911	3.265	1.243	0.48	0.539	7ps6
7ps6_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	0.495	0.546	0.57	1.014	2.889	1.207	0.496	0.61	7ps6
7ps6_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_003	0.486	0.59	0.72	1.082	2.224	1.435	0.617	0.656	7ps6
7ps6_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_003	0.495	0.567	0.643	0.896	2.671	1.149	0.37	0.548	7ps6
7ps6_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_004	0.488	0.592	0.65	1.015	3.245	1.454	0.65	0.723	7ps6
7ps6_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_001	0.509	0.566	0.57	0.942	2.741	1.245	0.423	0.523	7ps6
7ps6_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_002	0.487	0.58	0.659	1.026	3.219	1.424	0.56	0.714	7ps6
7ps6_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_004	0.511	0.566	0.588	0.858	2.051	1.266	0.411	0.549	7ps6
7ps6_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_001	0.473	0.592	0.621	0.927	3.185	1.302	0.49	0.557	7ps6
7ps6_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_003	0.505	0.588	1.685	0.902	2.947	1.226	0.469	0.594	7ps6
7ps6_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000	0.512	0.569	0.575	0.928	2.589	1.281	0.434	0.53	7ps6
7ps6_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_002	0.512	0.579	0.595	0.818	2.606	1.284	0.46	0.543	7ps6
7q0g_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_001	0.813	1.738	2.698	2.982	4.559	2.745	2.6	3.919	7q0g
7q0g_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_003	0.884	1.83	2.933	3.018	4.002	2.667	2.785	4.134	7q0g
7q0g_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	0.797	1.648	2.712	2.764	3.934	2.442	2.589	3.662	7q0g
7q0g_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_003	0.777	1.731	2.708	3.002	4.219	2.612	2.627	3.613	7q0g
7q0g_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_002	0.747	1.632	2.681	2.721	4.173	2.439	2.545	3.437	7q0g
7q0g_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_002	0.808	1.727	2.781	2.899	4.321	2.641	2.576	3.878	7q0g
7q0g_unrelaxed_rank_024_alphafold2_multimer_v3_model_2_seed_004	0.833	1.702	2.742	2.89	4.013	2.409	2.637	3.859	7q0g
7q0g_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.803	1.735	2.764	3.005	4.399	2.69	2.587	3.902	7q0g
7q0g_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_004	0.877	1.685	2.752	2.771	4.071	2.493	2.633	3.96	7q0g
7q0g_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_002	0.595	1.664	2.689	2.761	4.599	2.643	2.581	2.961	7q0g
7q0g_unrelaxed_rank_007_alphafold2_multimer_v3_model_3_seed_000	0.597	1.048	1.691	1.395	1.872	1.035	1.621	1.35	7q0g
7q0g_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_003	0.54	0.985	1.723	1.251	1.36	0.932	1.266	1.382	7q0g
7q0g_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_004	0.745	1.652	2.585	2.652	4.111	2.461	2.595	3.39	7q0g
7q0g_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000	0.795	1.691	2.716	2.856	4.02	2.611	2.641	3.588	7q0g
7q0g_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	0.898	1.251	2.05	1.835	2.101	2.768	2.055	2.53	7q0g
7q0g_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	0.788	1.145	1.875	1.706	1.539	1.189	1.643	2.664	7q0g
7q0g_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	0.794	1.189	1.929	1.746	2.02	1.334	1.943	2.521	7q0g
7q0g_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_001	0.895	1.845	2.953	2.972	3.953	2.679	2.813	4.163	7q0g
